order,storm,intensity,casualties,damage (mn),peak wind,minimum pressure,start_date,end date,us affected,US_LAT,US_LON,US_STATE,COUNTRY_LAT,COUNTRY_LON,COUNTRY_SPECIFIC
2,BERYL,ts,3,0.148,70,992,5/26/2012,5/30/2012,y,30.2,-81.4,Florida,30.2,-81.4,United States
3,CHRIS,1,0,0,85,974,6/18/2012,6/22/2012,n,,,,,,
4,DEBBY,ts,10,308.7,65,990,6/23/2012,6/27/2012,y,29.4,-82.7,Florida,29.4,-82.7,United States
5,ERNESTO,2,12,174,100,973,8/1/2012,8/10/2012,n,,,,18.8,-87.7,Mexico
6,FLORENCE,ts,0,0,60,1002,8/3/2012,8/6/2012,n,,,,,,
8,GORDON,2,0,min,110,965,8/15/2012,8/20/2012,n,,,,37,-25.1,Azores
7,HELENE,ts,2,17,45,1004,8/9/2012,8/18/2012,n,,,,14.3,-83.6,Nicaragua
9,ISAAC,1,41,2390,80,965,8/21/2012,9/1/2012,y,29.2,-90.2,Louisiana,18.3,-72.7,Haiti
10,JOYCE,ts,0,0,40,1006,8/22/2012,8/24/2012,n,,,,,,
11,LESLIE,2,0,0,105,970,8/28/2012,9/2/2012,n,,,,47.7,-54.9,Canada
12,KIRK,1,0,10.1,80,968,8/30/2012,9/11/2012,n,,,,,,
13,MICHAEL,3,0,0,115,964,9/3/2012,9/11/2012,n,,,,,,
14,NADINE,1,0,min,90,978,9/10/2012,10/4/2012,n,,,,,,
15,OSCAR,ts,0,0,50,994,10/3/2012,10/5/2012,n,,,,,,
16,PATTY,ts,0,0,45,1005,10/11/2012,10/13/2012,n,,,,,,
17,RAFAEL,1,1,2,90,969,10/12/2012,10/17/2012,n,,,,40,-7.5,Portugal
18,SANDY,3,286,68000,115,940,10/22/2012,10/29/2012,y,39.4,-74.4,New Jersey,17.9,-76.6,Jamaica
19,TONY,ts,0,0,50,1000,10/22/2012,10/25/2012,n,,,,,,
1,ANDREA,ts,4,0.086,65,992,6/5/2013,6/7/2013,y,29.8,-83,Florida,29.8,-83,United States
2,BARRY,ts,5,min,45,1003,6/17/2013,6/20/2013,n,,,,14.8,-83.8,Honduras
3,CHANTAL,ts,1,10,65,1003,7/7/2013,7/10/2013,y,,,,,,
4,DORIAN,ts,0,0,60,1002,7/23/2013,8/3/2013,y,,,,25.7,-79.3,Bahamas
5,ERIN,ts,0,0,45,1006,8/15/2013,8/18/2013,n,,,,,,
6,FERNAND,ts,14,NA,60,1001,8/25/2013,8/26/2013,n,,,,19.7,-96.6,Mexico
7,GABRIELLE,ts,0,0,65,1003,9/4/2013,9/13/2013,y,,,,,,
8,EIGHT,td,0,0,35,1008,9/6/2013,9/7/2013,n,,,,22.3,-97.9,Mexico
9,HUMBERTO,1,0,min,90,979,9/8/2013,9/19/2013,n,,,,,,
10,INGRID,1,23,1500,85,983,9/12/2013,9/17/2013,y,,,,23.7,-97.8,Mexico
11,JERRY,ts,0,0,50,1005,9/29/2013,10/3/2013,n,,,,,,
12,KAREN,ts,0,min,65,998,10/3/2013,10/6/2013,y,,,,,,
13,LORENZO,ts,0,0,50,1000,10/21/2013,10/24/2013,n,,,,,,
14,MELISSA,ts,0,0,65,980,11/18/2013,11/21/2013,n,,,,,,
15,UNNAMED,ts,0,0,50,997,12/5/2013,12/7/2013,n,,,,,,
1,ARTHUR,2,1,13.9,100,973,7/1/2014,7/7/2014,y,,,,,,
